Name,Commodities,Region,Emissions 
Ecopetrol,"Oil & Natural Gas Liquids, Natural Gas",Colombia,"3,09665th"
State-owned Entity,,,
Suncor Energy,"Oil & Natural Gas Liquids, Natural Gas",Canada,"3,07266th"
Investor-owned Company,,,
Hess Corporation,"Oil & Natural Gas Liquids, Natural Gas",USA,"3,02667th"
Investor-owned Company,,,
Ovintiv,"Oil & Natural Gas Liquids, Natural Gas",USA,"2,99368th"
Investor-owned Company,,,
Czech Republic,Coal,Czech Republic,"2,73769th"
Nation State,,,
Canadian Natural Resources,"Oil & Natural Gas Liquids, Natural Gas",Canada,"2,64070th"
Investor-owned Company,,,
Cyprus AMAX Minerals,Coal,USA,"2,56971st"
Investor-owned Company,,,
Westmoreland Mining,Coal,USA,"2,33972nd"
Investor-owned Company,,,
BASF,"Coal, Oil & Natural Gas Liquids, Natural Gas",Germany,"2,31373rd"
Investor-owned Company,,,
American Consolidated Natural Resources,Coal,USA,"2,24074th"
Investor-owned Company,,,
Exxaro Resources Ltd,Coal,South Africa,"2,16075th"
Investor-owned Company,,,
Bapco Energies,"Oil & Natural Gas Liquids, Natural Gas",Bahrain,"2,12776th"
State-owned Entity,,,
Adaro Energy,Coal,Indonesia,"2,06877th"
Investor-owned Company,,,
YPF,"Oil & Natural Gas Liquids, Natural Gas",Argentina,"2,03978th"
State-owned Entity,,,
Cenovus Energy,"Oil & Natural Gas Liquids, Natural Gas",Canada,"1,96579th"
Investor-owned Company,,,
APA Corporation,"Oil & Natural Gas Liquids, Natural Gas",USA,"1,96480th"
Investor-owned Company,,,
Banpu,"Coal, Oil & Natural Gas Liquids, Natural Gas",Thailand,"1,94381st"
Investor-owned Company,,,
PetroEcuador,"Oil & Natural Gas Liquids, Natural Gas",Ecuador,"1,92282nd"
State-owned Entity,,,
EOG Resources,"Oil & Natural Gas Liquids, Natural Gas",USA,"1,80683rd"
Investor-owned Company,,,
Alliance Resource Partners,"Coal, Oil & Natural Gas Liquids, Natural Gas",USA,"1,77784th"
Investor-owned Company,,,
Kiewit Mining Group,Coal,USA,"1,68985th"
Investor-owned Company,,,
Heidelberg Materials,Cement,Germany,"1,68486th"
Investor-owned Company,,,
North American Coal,"Coal, Oil & Natural Gas Liquids, Natural Gas",USA,"1,64487th"
Investor-owned Company,,,
Chesapeake Energy,"Oil & Natural Gas Liquids, Natural Gas",USA,"1,60988th"
Investor-owned Company,,,
Syrian Petroleum,"Oil & Natural Gas Liquids, Natural Gas",Syria,"1,57889th"
State-owned Entity,,,
Cloud Peak,Coal,USA,"1,47690th"
Investor-owned Company,,,
Vistra,Coal,USA,"1,39491st"
Investor-owned Company,,,
Teck Resources,"Coal, Oil & Natural Gas Liquids",Canada,"1,30892nd"
Investor-owned Company,,,
Inpex,"Oil & Natural Gas Liquids, Natural Gas",Japan,"1,25693rd"
Investor-owned Company,,,
Naftogaz,"Oil & Natural Gas Liquids, Natural Gas",Ukraine,"1,25294th"
State-owned Entity,,,
Coterra Energy,"Oil & Natural Gas Liquids, Natural Gas",USA,"1,18495th"
Investor-owned Company,,,
PTTEP,"Oil & Natural Gas Liquids, Natural Gas",Thailand,"1,08096th"
State-owned Entity,,,
OMV Group,"Oil & Natural Gas Liquids, Natural Gas",Austria,"1,01497th"
Investor-owned Company,,,
EQT Corporation,"Oil & Natural Gas Liquids, Natural Gas",USA,"1,00198th"
Investor-owned Company,,,
Southwestern Energy,"Oil & Natural Gas Liquids, Natural Gas",USA,98299th
Investor-owned Company,,,
Woodside Energy,"Oil & Natural Gas Liquids, Natural Gas",Australia,918100th
Investor-owned Company,,,
UK Coal,Coal,UK,882101st
Investor-owned Company,,,
Cemex,Cement,Mexico,867102nd
Investor-owned Company,,,
Santos,"Oil & Natural Gas Liquids, Natural Gas",Australia,837103rd
Investor-owned Company,,,
Pioneer Natural Resources,"Oil & Natural Gas Liquids, Natural Gas",USA,826104th
Investor-owned Company,,,
Murphy Oil,"Oil & Natural Gas Liquids, Natural Gas",USA,765105th
Investor-owned Company,,,
Orlen,"Oil & Natural Gas Liquids, Natural Gas",Poland,720106th
Investor-owned Company,,,
Antero,"Oil & Natural Gas Liquids, Natural Gas",USA,606107th
Investor-owned Company,,,
Taiheiyo Cement,Cement,Japan,580108th
Investor-owned Company,,,
Continental Resources,"Oil & Natural Gas Liquids, Natural Gas",USA,455109th
Investor-owned Company,,,
Tourmaline Oil,"Oil & Natural Gas Liquids, Natural Gas",Canada,450110th
Investor-owned Company,,,
Whitehaven Coal,Coal,Australia,428111th
Investor-owned Company,,,
Navajo Transitional Energy Company,Coal,USA,390112th
Investor-owned Company,,,
Wolverine Fuels,Coal,USA,385113th
Investor-owned Company,,,
Seriti Resources,Coal,South Africa,361114th
Investor-owned Company,,,
Obsidian Energy,"Oil & Natural Gas Liquids, Natural Gas",Canada,356115th
Investor-owned Company,,,
Vale,Coal,Brazil,317116th
Investor-owned Company,,,
SM Energy,"Oil & Natural Gas Liquids, Natural Gas",USA,316117th
Investor-owned Company,,,
Adani Enterprises,Coal,India,316118th
Investor-owned Company,,,
CNX Resources,"Oil & Natural Gas Liquids, Natural Gas",USA,227119th
Investor-owned Company,,,
CRH,Cement,Ireland,217120th
Investor-owned Company,,,
Tullow Oil,"Oil & Natural Gas Liquids, Natural Gas",UK,211121st
Investor-owned Company,,,
Slovakia,Coal,Slovakia,104122nd
Nation State,,,
